# Time X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4
2.54000020 0.17737643 -0.04856757 0.00000000 0.01842415 -0.18298040 0.00000000 -0.16413361 -0.08295410 0.00000000 -0.13639933 0.12335493 0.00000000 0.06609344 0.17161851 0.00000000
2.55000019 0.17050122 -0.06559428 0.00000000 0.00371754 -0.18264580 0.00000000 -0.16769087 -0.07247790 0.00000000 -0.13048460 0.12785560 0.00000000 0.06905046 0.16913114 0.00000000
2.56000018 0.16201717 -0.08174154 0.00000000 -0.01081807 -0.18114708 0.00000000 -0.17059417 -0.06187817 0.00000000 -0.12443500 0.13208775 0.00000000 0.07193788 0.16660203 0.00000000
2.57000017 0.15203029 -0.09685998 0.00000000 -0.02509195 -0.17850919 0.00000000 -0.17284152 -0.05119487 0.00000000 -0.11826234 0.13604818 0.00000000 0.07475528 0.16403289 0.00000000
2.58000016 0.14066002 -0.11081263 0.00000000 -0.03901622 -0.17476405 0.00000000 -0.17443356 -0.04046779 0.00000000 -0.11197829 0.13973391 0.00000000 0.07750235 0.16142528 0.00000000
2.59000015 0.12803803 -0.12347566 0.00000000 -0.05250645 -0.16995035 0.00000000 -0.17537312 -0.02973633 0.00000000 -0.10559452 0.14314266 0.00000000 0.08017884 0.15878101 0.00000000
2.60000014 0.11430685 -0.13474001 0.00000000 -0.06548203 -0.16411300 0.00000000 -0.17566572 -0.01903939 0.00000000 -0.09912281 0.14627236 0.00000000 0.08278445 0.15610160 0.00000000
2.61000013 0.09961790 -0.14451192 0.00000000 -0.07786680 -0.15730287 0.00000000 -0.17531866 -0.00841522 0.00000000 -0.09257500 0.14912175 0.00000000 0.08531905 0.15338878 0.00000000
2.62000012 0.08413033 -0.15271370 0.00000000 -0.08958934 -0.14957663 0.00000000 -0.17434162 0.00209869 0.00000000 -0.08596264 0.15168989 0.00000000 0.08778238 0.15064415 0.00000000
2.63000011 0.06800920 -0.15928431 0.00000000 -0.10058334 -0.14099556 0.00000000 -0.17274651 0.01246575 0.00000000 -0.07929750 0.15397614 0.00000000 0.09017437 0.14786939 0.00000000
